Variável,Importância
Occupation_Software Engineer,0.0
Occupation_Scientist,0.0
Occupation_Sales Representative,0.0
Occupation_Manager,0.0
BMI_Obese,0.00012721389283738884
Occupation_Lawyer,0.00039695363026661935
Occupation_Nurse,0.002889203591873103
Occupation_Teacher,0.007706236663511054
BMI_Overweight,0.00942794117545423
Occupation_Salesperson,0.009623893768342866
Pressure_Systolic,0.014989682714447596
Occupation_Engineer,0.016231746554061545
Occupation_Doctor,0.016960420504516575
Gender_Male,0.017231003766075764
Pressure_Diastolic,0.020252035720971704
Steps,0.030639305793351945
Activity,0.04955806536933545
Age,0.12383622595979084
Heart Rate,0.17401644823176665
Stress Level,0.2474790272671974
Sleep Duration,0.25863459539619926
