Variável,Importância
Occupation_Lawyer,0.0
Gender_Male,0.0
Occupation_Teacher,0.0
Occupation_Software Engineer,0.0
Occupation_Scientist,0.0
Occupation_Salesperson,0.0
Occupation_Sales Representative,0.0
Occupation_Nurse,0.0
Occupation_Manager,0.0
BMI_Obese,0.0
BMI_Overweight,0.0
Pressure_Diastolic,0.0
Pressure_Systolic,0.0
Activity,0.0
Occupation_Engineer,0.0
Steps,0.003938526901761836
Stress Level,0.03263479427879308
Occupation_Doctor,0.048349904842173864
Heart Rate,0.06577302932515505
Age,0.16292693258008395
Sleep Duration,0.6863768120720323
